Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/20000290     luaF_initupvals [54]
                0.00    0.00       4/20000290     luaS_newudata [140]
                0.00    0.00       6/20000290     luaF_newproto [135]
                0.00    0.00       7/20000290     luaF_newCclosure [133]
                0.00    0.00       8/20000290     luaS_newlstr [131]
                0.00    0.00      21/20000290     luaH_new [120]
                0.00    0.00     236/20000290     internshrstr [108]
                0.04    0.02 10000001/20000290     luaF_findupval [16]
                0.04    0.02 10000006/20000290     luaF_newLclosure [24]
[20]     0.4    0.07    0.05 20000290         luaC_newobj [20]
                0.04    0.01 20000290/20000364     luaM_malloc_ [31]
-----------------------------------------------
                                                 <spontaneous>
[21]     0.4    0.11    0.00                 unroll [21]
-----------------------------------------------
                0.00    0.07       6/6           lua_rawseti [23]
[22]     0.3    0.00    0.07       6         luaH_setint [22]
                0.07    0.00       6/12          luaH_getint [17]
                0.00    0.00       2/257         luaH_newkey <cycle 4> [49]
-----------------------------------------------
                0.00    0.02       2/6           pmain <cycle 1> [38]
                0.00    0.05       4/6           luaopen_package [26]
[23]     0.3    0.00    0.07       6         lua_rawseti [23]
                0.00    0.07       6/6           luaH_setint [22]
                0.00    0.00       6/70          index2value [188]
-----------------------------------------------
                0.00    0.00       1/10000006     luaY_parser [34]
                0.01    0.06 10000005/10000006     luaV_execute <cycle 1> [3]
[24]     0.3    0.01    0.06 10000006         luaF_newLclosure [24]
                0.04    0.02 10000006/20000290     luaC_newobj [20]
-----------------------------------------------
                0.00    0.00       1/163937      entergen [113]
                0.00    0.06  163936/163937      luaC_step [14]
[25]     0.2    0.00    0.06  163937         atomic [25]
                0.02    0.01  327935/327935      propagatemark [36]
                0.03    0.00  163937/163937      luaS_clearcache [37]
                0.00    0.00  655748/655748      clearbyvalues [173]
                0.00    0.00  327874/327874      convergeephemerons [177]
                0.00    0.00  327874/327874      clearbykeys [176]
                0.00    0.00  163937/163938      separatetobefnz [179]
-----------------------------------------------
                0.00    0.06       1/1           luaD_precall <cycle 1> [11]
[26]     0.2    0.00    0.06       1         luaopen_package [26]
                0.00    0.05       4/6           lua_rawseti [23]
                0.00    0.01       1/2           lua_rawgeti [43]
                0.00    0.00       2/15          luaL_setfuncs [67]
                0.00    0.00       5/214         auxsetstr [65]
                0.00    0.00       3/18          lua_createtable [86]
                0.00    0.00       2/2           setpath [98]
                0.00    0.00       3/13          luaL_getsubtable [95]
                0.00    0.00       1/163943      luaC_step [14]
                0.00    0.00       1/24          lua_pushstring [109]
                0.00    0.00       1/5           lua_setmetatable [151]
                0.00    0.00       5/168         lua_pushcclosure [132]
                0.00    0.00       5/203         lua_setfield [184]
                0.00    0.00       5/82          lua_settop [187]
                0.00    0.00       5/40          lua_pushvalue [193]
                0.00    0.00       1/10          luaL_checkversion_ [219]
                0.00    0.00       1/163945      luaE_setdebt [178]
-----------------------------------------------
                0.05    0.00 25000004/25000004     forprep [15]
[27]     0.2    0.05    0.00 25000004         luaV_tointeger [27]
